tier,eval_set,rule,threshold,coverage,risk
tier1,deployment175,confidence,0.30226,0.622857,0.357798
tier1,deployment175,confidence,0.301503,0.628571,0.363636
tier1,deployment175,confidence,0.298741,0.634286,0.369369
tier1,deployment175,confidence,0.29807,0.64,0.375
tier1,deployment175,confidence,0.297523,0.645714,0.380531
tier1,deployment175,confidence,0.296566,0.651429,0.385965
tier1,deployment175,confidence,0.296448,0.657143,0.382609
tier1,deployment175,confidence,0.296305,0.662857,0.387931
tier1,deployment175,confidence,0.294978,0.668571,0.384615
tier1,deployment175,confidence,0.293935,0.674286,0.381356
tier1,deployment175,confidence,0.293248,0.68,0.386555
tier1,deployment175,confidence,0.288086,0.685714,0.391667
tier1,deployment175,confidence,0.286397,0.691429,0.38843
tier1,deployment175,confidence,0.284651,0.697143,0.393443
tier1,deployment175,confidence,0.284614,0.702857,0.390244
tier1,deployment175,confidence,0.282612,0.708571,0.395161
tier1,deployment175,confidence,0.281464,0.714286,0.4
tier1,deployment175,confidence,0.280277,0.72,0.396825
tier1,deployment175,confidence,0.276408,0.725714,0.401575
tier1,deployment175,confidence,0.27626,0.731429,0.398438
tier1,deployment175,confidence,0.276058,0.737143,0.403101
tier1,deployment175,confidence,0.274037,0.742857,0.407692
tier1,deployment175,confidence,0.271595,0.748571,0.40458
tier1,deployment175,confidence,0.271411,0.754286,0.409091
tier1,deployment175,confidence,0.269686,0.76,0.413534
tier1,deployment175,confidence,0.26348,0.765714,0.41791
tier1,deployment175,confidence,0.261741,0.771429,0.422222
tier1,deployment175,confidence,0.260935,0.777143,0.426471
tier1,deployment175,confidence,0.259572,0.782857,0.430657
tier1,deployment175,confidence,0.256046,0.788571,0.434783
tier1,deployment175,confidence,0.254911,0.794286,0.438849
tier1,deployment175,confidence,0.251996,0.8,0.442857
tier1,deployment175,confidence,0.250922,0.805714,0.439716
tier1,deployment175,confidence,0.250884,0.811429,0.443662
tier1,deployment175,confidence,0.250716,0.817143,0.440559
tier1,deployment175,confidence,0.250666,0.822857,0.444444
tier1,deployment175,confidence,0.249967,0.828571,0.441379
tier1,deployment175,confidence,0.24764,0.834286,0.438356
tier1,deployment175,confidence,0.246779,0.84,0.435374
tier1,deployment175,confidence,0.246606,0.845714,0.432432
tier1,deployment175,confidence,0.246325,0.851429,0.436242
